GEO.id,GEO.id2,GEO.display-label,OCCUPATION2010.id,OCCUPATION2010.display-label,EST_HC1_VC2,EST_HC2_VC2,EST_HC3_VC2,EST_HC4_VC2,EST_HC5_VC2,EST_HC6_VC2,EST_HC7_VC2,EST_HC8_VC2,EST_HC9_VC2,EST_HC10_VC2,EST_HC11_VC2,EST_HC12_VC2,EST_HC13_VC2,EST_HC14_VC2,EST_HC15_VC2,EST_HC16_VC2,EST_HC1_VC3,EST_HC2_VC3,EST_HC3_VC3,EST_HC4_VC3,EST_HC5_VC3,EST_HC6_VC3,EST_HC7_VC3,EST_HC8_VC3,EST_HC9_VC3,EST_HC10_VC3,EST_HC11_VC3,EST_HC12_VC3,EST_HC13_VC3,EST_HC14_VC3,EST_HC15_VC3,EST_HC16_VC3,EST_HC1_VC5,EST_HC2_VC5,EST_HC3_VC5,EST_HC4_VC5,EST_HC5_VC5,EST_HC6_VC5,EST_HC7_VC5,EST_HC8_VC5,EST_HC9_VC5,EST_HC10_VC5,EST_HC11_VC5,EST_HC12_VC5,EST_HC13_VC5,EST_HC14_VC5,EST_HC15_VC5,EST_HC16_VC5,EST_HC1_VC6,EST_HC2_VC6,EST_HC3_VC6,EST_HC4_VC6,EST_HC5_VC6,EST_HC6_VC6,EST_HC7_VC6,EST_HC8_VC6,EST_HC9_VC6,EST_HC10_VC6,EST_HC11_VC6,EST_HC12_VC6,EST_HC13_VC6,EST_HC14_VC6,EST_HC15_VC6,EST_HC16_VC6,EST_HC1_VC8,EST_HC2_VC8,EST_HC3_VC8,EST_HC4_VC8,EST_HC5_VC8,EST_HC6_VC8,EST_HC7_VC8,EST_HC8_VC8,EST_HC9_VC8,EST_HC10_VC8,EST_HC11_VC8,EST_HC12_VC8,EST_HC13_VC8,EST_HC14_VC8,EST_HC15_VC8,EST_HC16_VC8,EST_HC1_VC9,EST_HC2_VC9,EST_HC3_VC9,EST_HC4_VC9,EST_HC5_VC9,EST_HC6_VC9,EST_HC7_VC9,EST_HC8_VC9,EST_HC9_VC9,EST_HC10_VC9,EST_HC11_VC9,EST_HC12_VC9,EST_HC13_VC9,EST_HC14_VC9,EST_HC15_VC9,EST_HC16_VC9,MOE_HC1_VC2,MOE_HC2_VC2,MOE_HC3_VC2,MOE_HC4_VC2,MOE_HC5_VC2,MOE_HC6_VC2,MOE_HC7_VC2,MOE_HC8_VC2,MOE_HC9_VC2,MOE_HC10_VC2,MOE_HC11_VC2,MOE_HC12_VC2,MOE_HC13_VC2,MOE_HC14_VC2,MOE_HC15_VC2,MOE_HC16_VC2,MOE_HC1_VC3,MOE_HC2_VC3,MOE_HC3_VC3,MOE_HC4_VC3,MOE_HC5_VC3,MOE_HC6_VC3,MOE_HC7_VC3,MOE_HC8_VC3,MOE_HC9_VC3,MOE_HC10_VC3,MOE_HC11_VC3,MOE_HC12_VC3,MOE_HC13_VC3,MOE_HC14_VC3,MOE_HC15_VC3,MOE_HC16_VC3,MOE_HC1_VC5,MOE_HC2_VC5,MOE_HC3_VC5,MOE_HC4_VC5,MOE_HC5_VC5,MOE_HC6_VC5,MOE_HC7_VC5,MOE_HC8_VC5,MOE_HC9_VC5,MOE_HC10_VC5,MOE_HC11_VC5,MOE_HC12_VC5,MOE_HC13_VC5,MOE_HC14_VC5,MOE_HC15_VC5,MOE_HC16_VC5,MOE_HC1_VC6,MOE_HC2_VC6,MOE_HC3_VC6,MOE_HC4_VC6,MOE_HC5_VC6,MOE_HC6_VC6,MOE_HC7_VC6,MOE_HC8_VC6,MOE_HC9_VC6,MOE_HC10_VC6,MOE_HC11_VC6,MOE_HC12_VC6,MOE_HC13_VC6,MOE_HC14_VC6,MOE_HC15_VC6,MOE_HC16_VC6,MOE_HC1_VC8,MOE_HC2_VC8,MOE_HC3_VC8,MOE_HC4_VC8,MOE_HC5_VC8,MOE_HC6_VC8,MOE_HC7_VC8,MOE_HC8_VC8,MOE_HC9_VC8,MOE_HC10_VC8,MOE_HC11_VC8,MOE_HC12_VC8,MOE_HC13_VC8,MOE_HC14_VC8,MOE_HC15_VC8,MOE_HC16_VC8,MOE_HC1_VC9,MOE_HC2_VC9,MOE_HC3_VC9,MOE_HC4_VC9,MOE_HC5_VC9,MOE_HC6_VC9,MOE_HC7_VC9,MOE_HC8_VC9,MOE_HC9_VC9,MOE_HC10_VC9,MOE_HC11_VC9,MOE_HC12_VC9,MOE_HC13_VC9,MOE_HC14_VC9,MOE_HC15_VC9,MOE_HC16_VC9
Id,Id2,Geography,Id,Occupation Code,"Estimate; Total, race and ethnicity; Total, both sexes - Number","Estimate; Hispanic or Latino - White alone Hispanic or Latino; Total, both sexes - Number","Estimate; Hispanic or Latino - All other Hispanic or Latino; Total, both sexes - Number","Estimate; Not Hispanic or Latino, one race - White alone; Total, both sexes - Number","Estimate; Not Hispanic or Latino, one race - Black or African American alone; Total, both sexes - Number","Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Total, both sexes - Number","Estimate; Not Hispanic or Latino, one race - Asian alone; Total, both sexes - Number","Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Total, both sexes - Number","Estimate; Not Hispanic or Latino, two or more races - White and Black; Total, both sexes - Number","Estimate; Not Hispanic or Latino, two or more races - White and AIAN; Total, both sexes - Number","Estimate; Not Hispanic or Latino, two or more races - White and Asian; Total, both sexes - Number","Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; Total, both sexes - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Total, both sexes - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Total, both sexes - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Total, both sexes - Number","Estimate; Balance of not Hispanic or Latino; Total, both sexes - Number","Estimate; Total, race and ethnicity; Total, both sexes - Percent","Estimate; Hispanic or Latino - White alone Hispanic or Latino; Total, both sexes - Percent","Estimate; Hispanic or Latino - All other Hispanic or Latino; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, one race - White alone; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, one race - Black or African American alone; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, one race - Asian alone; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, two or more races - White and Black; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, two or more races - White and AIAN; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, two or more races - White and Asian; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; Total, both sexes - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Total, both sexes - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Total, both sexes - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Total, both sexes - Percent","Estimate; Balance of not Hispanic or Latino; Total, both sexes - Percent","Estimate; Total, race and ethnicity; Male - Number",Estimate; Hispanic or Latino - White alone Hispanic or Latino; Male - Number,Estimate; Hispanic or Latino - All other Hispanic or Latino; Male - Number,"Estimate; Not Hispanic or Latino, one race - White alone; Male - Number","Estimate; Not Hispanic or Latino, one race - Black or African American alone; Male - Number","Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Male - Number","Estimate; Not Hispanic or Latino, one race - Asian alone; Male - Number","Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Male - Number","Estimate; Not Hispanic or Latino, two or more races - White and Black; Male - Number","Estimate; Not Hispanic or Latino, two or more races - White and AIAN; Male - Number","Estimate; Not Hispanic or Latino, two or more races - White and Asian; Male - Number","Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; Male - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Male - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Male - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Male - Number",Estimate; Balance of not Hispanic or Latino; Male - Number,"Estimate; Total, race and ethnicity; Male - Percent",Estimate; Hispanic or Latino - White alone Hispanic or Latino; Male - Percent,Estimate; Hispanic or Latino - All other Hispanic or Latino; Male - Percent,"Estimate; Not Hispanic or Latino, one race - White alone; Male - Percent","Estimate; Not Hispanic or Latino, one race - Black or African American alone; Male - Percent","Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Male - Percent","Estimate; Not Hispanic or Latino, one race - Asian alone; Male - Percent","Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Male - Percent","Estimate; Not Hispanic or Latino, two or more races - White and Black; Male - Percent","Estimate; Not Hispanic or Latino, two or more races - White and AIAN; Male - Percent","Estimate; Not Hispanic or Latino, two or more races - White and Asian; Male - Percent","Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; Male - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Male - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Male - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Male - Percent",Estimate; Balance of not Hispanic or Latino; Male - Percent,"Estimate; Total, race and ethnicity; Female - Number",Estimate; Hispanic or Latino - White alone Hispanic or Latino; Female - Number,Estimate; Hispanic or Latino - All other Hispanic or Latino; Female - Number,"Estimate; Not Hispanic or Latino, one race - White alone; Female - Number","Estimate; Not Hispanic or Latino, one race - Black or African American alone; Female - Number","Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Female - Number","Estimate; Not Hispanic or Latino, one race - Asian alone; Female - Number","Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Female - Number","Estimate; Not Hispanic or Latino, two or more races - White and Black; Female - Number","Estimate; Not Hispanic or Latino, two or more races - White and AIAN; Female - Number","Estimate; Not Hispanic or Latino, two or more races - White and Asian; Female - Number","Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; Female - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Female - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Female - Number","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Female - Number",Estimate; Balance of not Hispanic or Latino; Female - Number,"Estimate; Total, race and ethnicity; Female - Percent",Estimate; Hispanic or Latino - White alone Hispanic or Latino; Female - Percent,Estimate; Hispanic or Latino - All other Hispanic or Latino; Female - Percent,"Estimate; Not Hispanic or Latino, one race - White alone; Female - Percent","Estimate; Not Hispanic or Latino, one race - Black or African American alone; Female - Percent","Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Female - Percent","Estimate; Not Hispanic or Latino, one race - Asian alone; Female - Percent","Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Female - Percent","Estimate; Not Hispanic or Latino, two or more races - White and Black; Female - Percent","Estimate; Not Hispanic or Latino, two or more races - White and AIAN; Female - Percent","Estimate; Not Hispanic or Latino, two or more races - White and Asian; Female - Percent","Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; Female - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Female - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Female - Percent","Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Female - Percent",Estimate; Balance of not Hispanic or Latino; Female - Percent,"Margin of Error; Total, race and ethnicity; Total, both sexes - Number","Margin of Error; Hispanic or Latino - White alone Hispanic or Latino; Total, both sexes - Number","Margin of Error; Hispanic or Latino - All other Hispanic or Latino; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, one race - White alone; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, one race - Black or African American alone; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, one race - Asian alone; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and Black; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and AIAN; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and Asian; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, two or more races - Black and AIAN; Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Total, both sexes - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Total, both sexes - Number","Margin of Error; Balance of not Hispanic or Latino; Total, both sexes - Number","Margin of Error; Total, race and ethnicity; Total, both sexes - Percent","Margin of Error; Hispanic or Latino - White alone Hispanic or Latino; Total, both sexes - Percent","Margin of Error; Hispanic or Latino - All other Hispanic or Latino; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, one race - White alone; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, one race - Black or African American alone; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, one race - Asian alone; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and Black; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and AIAN; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and Asian; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, two or more races - Black and AIAN; Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Total, both sexes - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Total, both sexes - Percent","Margin of Error; Balance of not Hispanic or Latino; Total, both sexes - Percent","Margin of Error; Total, race and ethnicity; Male - Number",Margin of Error; Hispanic or Latino - White alone Hispanic or Latino; Male - Number,Margin of Error; Hispanic or Latino - All other Hispanic or Latino; Male - Number,"Margin of Error; Not Hispanic or Latino, one race - White alone; Male - Number","Margin of Error; Not Hispanic or Latino, one race - Black or African American alone; Male - Number","Margin of Error; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Male - Number","Margin of Error; Not Hispanic or Latino, one race - Asian alone; Male - Number","Margin of Error; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Male - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and Black; Male - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and AIAN; Male - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and Asian; Male - Number","Margin of Error; Not Hispanic or Latino, two or more races - Black and AIAN; Male - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Male - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Male - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Male - Number",Margin of Error; Balance of not Hispanic or Latino; Male - Number,"Margin of Error; Total, race and ethnicity; Male - Percent",Margin of Error; Hispanic or Latino - White alone Hispanic or Latino; Male - Percent,Margin of Error; Hispanic or Latino - All other Hispanic or Latino; Male - Percent,"Margin of Error; Not Hispanic or Latino, one race - White alone; Male - Percent","Margin of Error; Not Hispanic or Latino, one race - Black or African American alone; Male - Percent","Margin of Error; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Male - Percent","Margin of Error; Not Hispanic or Latino, one race - Asian alone; Male - Percent","Margin of Error; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Male - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and Black; Male - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and AIAN; Male - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and Asian; Male - Percent","Margin of Error; Not Hispanic or Latino, two or more races - Black and AIAN; Male - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Male - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Male - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Male - Percent",Margin of Error; Balance of not Hispanic or Latino; Male - Percent,"Margin of Error; Total, race and ethnicity; Female - Number",Margin of Error; Hispanic or Latino - White alone Hispanic or Latino; Female - Number,Margin of Error; Hispanic or Latino - All other Hispanic or Latino; Female - Number,"Margin of Error; Not Hispanic or Latino, one race - White alone; Female - Number","Margin of Error; Not Hispanic or Latino, one race - Black or African American alone; Female - Number","Margin of Error; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Female - Number","Margin of Error; Not Hispanic or Latino, one race - Asian alone; Female - Number","Margin of Error; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Female - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and Black; Female - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and AIAN; Female - Number","Margin of Error; Not Hispanic or Latino, two or more races - White and Asian; Female - Number","Margin of Error; Not Hispanic or Latino, two or more races - Black and AIAN; Female - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Female - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Female - Number","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Female - Number",Margin of Error; Balance of not Hispanic or Latino; Female - Number,"Margin of Error; Total, race and ethnicity; Female - Percent",Margin of Error; Hispanic or Latino - White alone Hispanic or Latino; Female - Percent,Margin of Error; Hispanic or Latino - All other Hispanic or Latino; Female - Percent,"Margin of Error; Not Hispanic or Latino, one race - White alone; Female - Percent","Margin of Error; Not Hispanic or Latino, one race - Black or African American alone; Female - Percent","Margin of Error; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; Female - Percent","Margin of Error; Not Hispanic or Latino, one race - Asian alone; Female - Percent","Margin of Error; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; Female - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and Black; Female - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and AIAN; Female - Percent","Margin of Error; Not Hispanic or Latino, two or more races - White and Asian; Female - Percent","Margin of Error; Not Hispanic or Latino, two or more races - Black and AIAN; Female - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); Female - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); Female - Percent","Margin of Error; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); Female - Percent",Margin of Error; Balance of not Hispanic or Latino; Female - Percent
0400000US01,01,Alabama,8860,"Cleaning, washing, and metal pickling equipment operators and tenders 8860 (SOC 51-9192)",,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
0400000US01,01,Alabama,8910,Etchers and engravers 8910 (SOC 51-9194),,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
0400000US01,01,Alabama,8920,"Molders, shapers, and casters, except metal and plastic 8920 (SOC 51-9195)",,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
0400000US01,01,Alabama,8930,"Paper goods machine setters, operators, and tenders 8930 (SOC 51-9196)",,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
0400000US01,01,Alabama,8940,Tire builders 8940 (SOC 51-9197),,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
0400000US01,01,Alabama,8950,Helpers--production workers 8950 (SOC 51-9198),,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
0400000US01,01,Alabama,8965,"Other production workers, including semiconductor processors and cooling and freezing equipment operators 8965 (SOC 51-91XX)",,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
0400000US01,01,Alabama,9000,Supervisors of transportation and material moving workers 9000 (SOC 53-1000),,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
0400000US01,01,Alabama,9030,Aircraft pilots and flight engineers 9030 (SOC 53-2010),,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),,,,,,,,,,,,,,$(X),$(X),$(X),
